#Zeit in ns
#10
#links ist negativ
#Verzögerungsdauer      Messdauer       Counts
-32                     120             15
-24                     60              12
-20                     60              27
-16                     60              107
-12                     60              143
-8                      30              289
-4                      30              353
-3                      30              384
-2                      20              422
-1                      20              401
1                       20              410
2                       20              397
3                       20              409
4                       20              379
8                       20              319
12                      20              162
16                      60              145
20                      60              46
24                      60              21
32                      120             6
