#f/kHz      U*1**3/V    P1/V
100         0           6.48
200         4.8         7.5
300         17.7        6.6
400         31.3        4.63
500         42.6        3.75
600         55.7        2.41
700         67.0        1.54
800         66.6        4.03
900         79.0        2.86
1000        86.4        3.12
