num_conv_layers,max_filters,dropout,dense_nodes,activation_function_conv,status,best_val_acc_train_acc,best_val_acc,best_val_acc_train_loss,best_val_acc_loss,best_val_epoch
3,64,0.5,128,relu,loaded,0.9500666856765747,0.9416999816894531,0.14850835502147675,0.18700048327445984,14
3,64,0.5,512,relu,loaded,0.9436666369438171,0.9347000122070312,0.1469050943851471,0.17099227011203766,10
3,32,0.4,128,relu,loaded,0.9452000260353088,0.934499979019165,0.144196555018425,0.17664067447185516,4
3,64,0.5,256,relu,loaded,0.934066653251648,0.9326000213623047,0.18025116622447968,0.19063818454742432,8
3,64,0.4,256,relu,loaded,0.9481333494186401,0.9325500130653381,0.1662331223487854,0.23136936128139496,15
3,32,0.4,256,relu,loaded,0.939466655254364,0.9323499798774719,0.15272101759910583,0.17294621467590332,9
3,128,0.5,256,relu,loaded,0.9422333240509033,0.9320999979972839,0.170646071434021,0.2206321805715561,15
3,32,0.5,128,relu,loaded,0.9440000057220459,0.9320499897003174,0.1523474007844925,0.17526984214782715,11
3,128,0.5,512,relu,loaded,0.9403666853904724,0.9309999942779541,0.188370481133461,0.22086691856384277,15
3,32,0.5,128,LeakyReLU,loaded,0.9394333362579346,0.9309999942779541,0.16230802237987518,0.17592434585094452,14
3,32,0.4,512,relu,loaded,0.9368333220481873,0.930649995803833,0.1598697155714035,0.1762007176876068,7
3,128,0.5,128,relu,loaded,0.9289000034332275,0.9287999868392944,0.17845648527145386,0.18287049233913422,9
3,64,0.4,128,relu,loaded,0.9143999814987183,0.9272000193595886,0.21604205667972565,0.18616174161434174,7
3,128,0.4,256,relu,loaded,0.9204000234603882,0.9271000027656555,0.22302137315273285,0.2195218801498413,11
3,64,0.5,256,LeakyReLU,loaded,0.9211000204086304,0.9266999959945679,0.22225840389728546,0.2015746533870697,11
3,128,0.4,512,relu,loaded,0.9459333419799805,0.9254000186920166,0.19918717443943024,0.28878647089004517,18
2,64,0.4,128,relu,loaded,0.9387333393096924,0.9233999848365784,0.15798965096473694,0.1844492107629776,14
2,64,0.5,128,relu,loaded,0.9404000043869019,0.9229000210762024,0.15379805862903595,0.18965274095535278,16
3,64,0.4,512,relu,loaded,0.9375333189964294,0.9215499758720398,0.16221334040164948,0.19705593585968018,6
2,32,0.5,128,relu,loaded,0.9248999953269958,0.9204999804496765,0.2003931701183319,0.21900302171707153,11
2,128,0.5,128,relu,loaded,0.9179666638374329,0.9204999804496765,0.22155731916427612,0.21748335659503937,9
3,64,0.4,512,LeakyReLU,loaded,0.9373999834060669,0.9186499714851379,0.16587623953819275,0.2084289789199829,13
3,128,0.4,128,relu,loaded,0.9406333565711975,0.9182999730110168,0.1590356081724167,0.21214669942855835,9
2,32,0.5,128,LeakyReLU,loaded,0.9262666702270508,0.9172999858856201,0.20088699460029602,0.22601696848869324,23
3,32,0.5,256,LeakyReLU,loaded,0.9424333572387695,0.916949987411499,0.15205280482769012,0.21488624811172485,17
2,128,0.4,512,relu,loaded,0.9214666485786438,0.9156500101089478,0.26182764768600464,0.2735438346862793,15
3,128,0.5,256,LeakyReLU,loaded,0.937833309173584,0.9154999852180481,0.16022731363773346,0.21503686904907227,15
3,64,0.5,512,LeakyReLU,loaded,0.937333345413208,0.9154499769210815,0.15974876284599304,0.20924831926822662,13
3,32,0.5,256,relu,loaded,0.928766667842865,0.9103999733924866,0.18375995755195618,0.24199184775352478,4
3,32,0.5,512,relu,loaded,0.9132333397865295,0.9079999923706055,0.23202542960643768,0.25688615441322327,6
2,128,0.4,256,relu,loaded,0.9173666834831238,0.9078500270843506,0.23088374733924866,0.2598167955875397,20
2,32,0.5,256,relu,loaded,0.9052333235740662,0.9063000082969666,0.23659999668598175,0.22790083289146423,8
2,32,0.5,512,relu,loaded,0.92576664686203,0.906000018119812,0.22153687477111816,0.2863563001155853,14
3,32,0.5,512,LeakyReLU,loaded,0.9330000281333923,0.9052500128746033,0.1870618760585785,0.2598179578781128,10
3,64,0.4,128,LeakyReLU,loaded,0.9305333495140076,0.9050999879837036,0.19384156167507172,0.26889413595199585,6
3,128,0.4,512,LeakyReLU,loaded,0.8992666602134705,0.8995000123977661,0.25632792711257935,0.254123717546463,1
2,32,0.4,128,relu,loaded,0.9304333329200745,0.8992999792098999,0.21234636008739471,0.31108659505844116,21
3,64,0.5,128,LeakyReLU,loaded,0.9021333456039429,0.8961499929428101,0.25041353702545166,0.2561642825603485,4
3,32,0.4,256,LeakyReLU,loaded,0.9030666947364807,0.8949999809265137,0.24901703000068665,0.26130518317222595,0
3,32,0.4,512,LeakyReLU,loaded,0.9160000085830688,0.8931499719619751,0.21726544201374054,0.25505492091178894,0
2,64,0.4,256,LeakyReLU,loaded,0.9054333567619324,0.8928999900817871,0.2665596008300781,0.3051789700984955,6
2,64,0.4,256,relu,loaded,0.9244999885559082,0.8927000164985657,0.21144695580005646,0.2877865731716156,15
2,128,0.5,256,LeakyReLU,loaded,0.9055333137512207,0.8919000029563904,0.2412109673023224,0.2693181037902832,10
2,64,0.5,256,LeakyReLU,loaded,0.904699981212616,0.8914999961853027,0.3039613664150238,0.31069910526275635,7
2,64,0.4,512,relu,loaded,0.9035999774932861,0.8911499977111816,0.2592024505138397,0.30645015835762024,10
2,64,0.5,512,LeakyReLU,loaded,0.907966673374176,0.890500009059906,0.24774308502674103,0.2964845597743988,11
2,32,0.4,256,relu,loaded,0.9078333377838135,0.8878499865531921,0.27318334579467773,0.35136178135871887,10
2,32,0.4,512,relu,loaded,0.8891666531562805,0.8874499797821045,0.29926031827926636,0.308846652507782,3
3,128,0.5,512,LeakyReLU,loaded,0.897266685962677,0.8855500221252441,0.2947285771369934,0.3654996156692505,3
2,32,0.4,512,LeakyReLU,loaded,0.8986666798591614,0.885450005531311,0.2730633020401001,0.32826295495033264,11
2,64,0.4,512,LeakyReLU,loaded,0.8816999793052673,0.880050003528595,0.33676907420158386,0.33306747674942017,1
2,64,0.4,128,LeakyReLU,loaded,0.8713666796684265,0.8793500065803528,0.31920289993286133,0.30460602045059204,8
2,64,0.5,128,LeakyReLU,loaded,0.873533308506012,0.8758500218391418,0.2981969118118286,0.30791062116622925,2
2,64,0.5,256,relu,loaded,0.874666690826416,0.8751999735832214,0.3218725323677063,0.3206455409526825,1
2,32,0.4,256,LeakyReLU,loaded,0.8788333535194397,0.8744999766349792,0.3256739377975464,0.34861353039741516,11
2,32,0.4,128,LeakyReLU,loaded,0.8888000249862671,0.8743500113487244,0.31689539551734924,0.39225155115127563,8
2,32,0.5,512,LeakyReLU,loaded,0.9085000157356262,0.873449981212616,0.31053969264030457,0.4549969732761383,14
