num_conv_layers,max_filters,dropout,dense_nodes,num_dense_layers,activation_function_conv,status,best_val_acc_train_acc,best_val_acc,best_val_acc_train_loss,best_val_acc_loss,best_val_epoch
3,256,0.5,128,1,relu,loaded,0.9691125154495239,0.965499997138977,0.08244450390338898,0.09474595636129379,21
3,128,0.5,128,1,relu,loaded,0.9551125168800354,0.9597499966621399,0.11762872338294983,0.1081656888127327,19
3,128,0.5,256,1,relu,loaded,0.9637749791145325,0.9595500230789185,0.09593244642019272,0.11231082677841187,27
3,256,0.5,256,1,relu,loaded,0.9480249881744385,0.9574499726295471,0.1363244354724884,0.11878091841936111,8
3,128,0.5,128,2,relu,loaded,0.956375002861023,0.9600499868392944,0.11924292892217636,0.11183502525091171,24
3,128,0.5,256,2,relu,loaded,0.9642999768257141,0.9592999815940857,0.09985563158988953,0.11479762196540833,34
