#die Tuppe
#Nummer  3T in s für 90°   3T in s für 120°
1           1.99            1.98
2           1.60            1.99
3           1.99            1.99
4           1.87            1.99
5           1.66            1.93
6           1.79            2.26
7           1.80            1.93
8           1.79            2.00
9           1.79            1.93
10          2.13            1.79
